Contract Name,Status,Total Gas Used,Min Gas Cost for a Facet,Max Gas Cost for a Facet,Average Facet Gas Cost,Facet Gas Cost Stdev
FKGasLess,Success,4774860,232777,531959,344031.6666666667,133632.55751333787
FLAPPY,Failed,NA,NA,NA,NA,NA
FLAction,Success,3742777,0,0,0,0
FLEPE,Success,8248754,426269,3159492,1126494.25,1173833.0933472558
FLMaker,Success,3742765,0,0,0,0
FLOKICEO,Success,8163685,265957,2916383,736818,974894.6909160668
FMS,Failed,NA,NA,NA,NA,NA
FOMO,Success,8353425,422152,3276586,1152662,1226325.7423749613
FORGE,Success,8049121,422152,2972222,1076589,1094531.4081279258
FORM,Success,7730550,265929,2803094,797554.6,1002916.4730412199
FR33GPT,Success,7406726,265957,2798460,915987.25,1086933.7881700464
FSMAI,Success,7522170,437917,2325518,944848.25,797643.0491038504
FUNGIBLE,Failed,NA,NA,NA,NA,NA
FURY,Success,6585875,181525,965468,355387.25,240170.79870622803
FXA,Success,8103471,265957,3175963,872141.2,1152038.561298258
FantomAI,Failed,NA,NA,NA,NA,NA
FeeSimulator,Failed,NA,NA,NA,NA,NA
FeelsBadMan,Success,8163601,265957,2916311,736804,974868.7597437582
FiatToken,Failed,NA,NA,NA,NA,NA
FixedAdapter,Success,3742777,0,0,0,0
FlashToken,Failed,NA,NA,NA,NA,NA
Flash_GAME,Failed,NA,NA,NA,NA,NA
FlockAI,Failed,NA,NA,NA,NA,NA
FlorkofCows,Success,5807349,265941,1199059,516143,394523.7665052639
Fottie,Failed,NA,NA,NA,NA,NA
FoxLabAI,Success,7202509,262838,2603552,864936,1003885.4740295329
Foxy,Success,6585887,181537,965468,355390.25,240169.12566915737
FractalAI,Success,7495195,265957,2886881,938104.5,1125211.414926213
FraxGPU,Success,7265498,265957,2657208,880683.25,1025770.007193468
FraxUnifiedFarm_ERC20_Convex_FRAXBP_Volatile,Failed,NA,NA,NA,NA,NA
Frog,Failed,NA,NA,NA,NA,NA
FundsForTraders,Success,7673857,243325,2578821,655180,860590.0366806486
FunkyFrog,Failed,NA,NA,NA,NA,NA
GAS,Success,3742753,0,0,0,0
GATE,Success,6585863,181525,965480,355385.75,240174.91277751618
GAUDI,Success,8183478,265957,2936236,740116.8333333334,982296.6770785047
GEAR,Success,3742777,0,0,0,0
GEM,Success,3742777,0,0,0,0
GENAI,Success,8069080,265957,2821598,721050.5,939563.1123445531
GGCrowdfunding,Failed,NA,NA,NA,NA,NA
GIGGLE,Success,8155163,265957,2907825,735399.6666666666,971702.3048136822
GIVERS,Success,3742777,0,0,0,0
GIVF,Success,8163613,265957,2916383,736806,974900.0702637852
GMRX,Success,6585863,181537,965468,355387.25,240169.75061232733
GMS,Success,6585443,181525,965480,355334.75,240175.46226079695
GNX,Failed,NA,NA,NA,NA,NA
GOMBLE,Success,6585875,181537,965480,355387.25,240173.82696952534
GOODBOOK,Success,8155127,265957,2907825,735391.6666666666,971705.8905445047
GOOGLEAI,Failed,NA,NA,NA,NA,NA
GPEPE,Success,7705504,265957,2777924,792547.8,992836.334047138
GPM,Success,7265486,265945,2657208,880680.25,1025771.8050532426
GPR,Success,7859904,265957,2932276,823425.4,1054564.8816860155
GPTV,Success,6585911,181537,965480,355391.75,240172.93597257684
GPUN,Success,7354734,265957,2746420,902992.25,1064393.1621784254
GProtocol,Success,8550859,422152,3473912,1202020.5,1311749.9948009339
GRASS,Failed,NA,NA,NA,NA,NA
GROKGROK,Success,7241534,265945,2633184,874689.25,1015361.5678430455
GUGU,Failed,NA,NA,NA,NA,NA
GUSTA,Failed,NA,NA,NA,NA,NA
Gaimin,Success,6585863,181525,965480,355388.75,240174.60900184163
Gambit,Failed,NA,NA,NA,NA,NA
GameCene,Success,6295744,243313,1096826,425494.5,303694.95173158543
GameIntegratedAI,Success,3742777,0,0,0,0
GardenComponents,Failed,NA,NA,NA,NA,NA
GasFi0,Success,3742777,0,0,0,0
Gateguard,Success,7243522,265957,2635268,875192.25,1016273.9747883872
GeNodeAI,Success,7356512,265957,2748210,903433.75,1065171.589757344
GeneralView,Success,3742765,0,0,0,0
Ghozali404,Success,6249213,2506448,2506448,2506448,0
GigabyteAI,Failed,NA,NA,NA,NA,NA
GigglesAcademyOfMeme,Success,7243678,265957,2635256,875228.25,1016246.6994318789
GoldFinder,Success,7292116,243325,2440465,709867.8,865563.7949159843
GoldLaunchAI,Success,7664419,414120,2611592,980410.5,941864.4335137886
GoofyInu,Success,7245436,265929,2637182,875664.75,1017106.3144896346
GorillaLocker,Failed,NA,NA,NA,NA,NA
Grass,Success,6585443,181537,965480,355333.25,240174.7523037913
Gravestone,Success,8070112,265945,2822666,721222.5,939963.8200987224
GreenCarbonCoin,Success,3742777,0,0,0,0
GridexAI,Success,7487181,265957,2878903,936101,1121762.2058865684
Grok20,Success,8165735,265957,2918505,737159.6666666666,975690.7603670107
GrowMiner,Success,5807073,265941,1198819,516074,394424.8425828424
GuFuguru,Failed,NA,NA,NA,NA,NA
HAIR,Success,7730022,265957,2802466,797451.4,1002654.0651210865
HASHVPN,Failed,NA,NA,NA,NA,NA
HASH,Failed,NA,NA,NA,NA,NA
HASSLE,Success,7230987,265957,2622697,872052.5,1010829.3781841968
HEHE,Failed,NA,NA,NA,NA,NA
HENTAITOKEN,Success,7239464,282553,2581302,874171.75,985709.0583601164
HERO,Success,3742777,0,0,0,0
HUE,Success,6544721,169661,959613,350243,239406.70053227415
HWGToken,Success,3742777,0,0,0,0
HahaHashToken,Failed,NA,NA,NA,NA,NA
HalfDoge,Success,8165771,265957,2918505,737167.6666666666,975687.1342714779
HalfPump,Success,8163589,265957,2916311,736802,974869.6557224116
HamTheApe,Failed,NA,NA,NA,NA,NA
HaroldCat,Failed,NA,NA,NA,NA,NA
HarvestAI,Success,7254141,265957,2645851,877844,1020852.7297737417
HashAI,Success,7357712,265957,2749434,903733.75,1065704.952984731
Hashrent,Success,7357760,265957,2749434,903748.75,1065696.452407855
HeavenAI,Success,7721220,243325,2869581,795691,1037166.3071571502
Hobbes,Failed,NA,NA,NA,NA,NA
HotelAI,Success,7356488,265957,2748210,903427.75,1065174.9900646314
HugeWin,Success,3742777,0,0,0,0
HumanizedAiStakingContract,Failed,NA,NA,NA,NA,NA
Hush_Finance,Success,3742777,0,0,0,0
IDK,Success,4606613,863836,863836,863836,0
IDUCK,Success,5807133,265929,1198819,516092,394415.23086272925
IGridAI,Success,7487133,265957,2878867,936089,1121748.3203149894
ILoveLawyers,Success,3742777,0,0,0,0
INFRAX,Success,8357549,422152,3280674,1153693,1228090.673142867
INOVAI,Failed,NA,NA,NA,NA,NA
IPSec,Failed,NA,NA,NA,NA,NA
IQ50,Success,7239266,265957,2631036,874122.25,1014448.4282659161
ISHI,Success,8163565,265957,2916383,736800,974902.7599572858
InQubeta,Failed,NA,NA,NA,NA,NA
IncentivesPool,Failed,NA,NA,NA,NA,NA
InfinityAI,Success,9088075,169661,3326948,534531,932409.4906718829
InitializableImmutableAdminUpgradeabilityProxy,Success,3742777,0,0,0,0
IntelVerseAI,Success,8637360,426269,3548110,1223645.75,1342101.1373872638
InteliAI,Success,7405718,265957,2797416,915735.25,1086476.657094706
Intellexus,Failed,NA,NA,NA,NA,NA
IpToken,Failed,NA,NA,NA,NA,NA
IporProtocolRouter,Success,3742765,0,0,0,0
JASAI,Failed,NA,NA,NA,NA,NA
JBINU,Success,8359075,422152,3282140,1154077.5,1228715.2035188016
JENNIAI,Success,7440990,265941,2832724,924553.25,1101769.4780010416
JUICE,Success,6585875,181537,965480,355387.25,240174.22016566954
JULIUSAI,Failed,NA,NA,NA,NA,NA
JUSTIN,Success,7307749,265957,2699447,891246,1044056.7022190414
Javsphere,Success,6760521,243325,967316,377218,226738.46298819705
JuliaAIClub,Success,7477967,265957,2869605,933797.5,1117724.448561563
KARENS,Success,8070088,265957,2822726,721218.5,939992.337878657
KETNIPZ,Success,5807313,265941,1199059,516137,394527.05611846194
KNNAI,Failed,NA,NA,NA,NA,NA
KPfree,Failed,NA,NA,NA,NA,NA
KapturBot,Failed,NA,NA,NA,NA,NA
KirbyInu,Success,8163473,265941,2916287,736782.6666666666,974867.5713879752
KoalaCoin,Success,3742777,0,0,0,0
Koii,Success,6585899,181537,965468,355390.25,240169.12566915737
Komputai,Success,6760521,243325,967316,377218,226738.46298819705
KonnectAi,Success,3742777,0,0,0,0
KuwaitFinancialHouse,Failed,NA,NA,NA,NA,NA
KyberInputScalingHelper,Success,3742765,0,0,0,0
KyberWrapperV3,Success,3742777,0,0,0,0
LAMBDA,Success,7168576,265957,2560286,856449.75,983807.2129630822
LANDPEPE,Success,6760509,243313,967316,377216.5,226739.3487972478
LARP,Success,8419831,265957,2857226,668150.5714285715,893994.1995976511
LEAPAI,Failed,NA,NA,NA,NA,NA
LEDGER,Success,8233247,265957,2988717,748413.6666666666,1002044.9304298796
LEN,Success,3742777,0,0,0,0
LFG,Success,8170811,265957,2923473,738005.6666666666,977533.8879208001
LITETOKEN,Success,4774872,232777,531959,344031.6666666667,133632.55751333787
LKA,Success,7239398,265957,2631036,874155.25,1014429.7455091148
LNQFarm,Failed,NA,NA,NA,NA,NA
LOME,Success,6585887,181537,965480,355390.25,240173.52317374098
LOVE_FUNKS,Failed,NA,NA,NA,NA,NA
LSD,Success,3742777,0,0,0,0
LSVSell,Success,3742777,0,0,0,0
LUCIDAI,Failed,NA,NA,NA,NA,NA
LUIS,Success,8233163,265957,2988717,748397.6666666666,1002052.0973909269
LUMIN,Success,6760521,243325,967316,377218,226738.46298819705
Landwolf,Failed,NA,NA,NA,NA,NA
Lanify,Success,3742777,0,0,0,0
LayerTensor,Failed,NA,NA,NA,NA,NA
LayerZ,Success,7475497,265941,2867255,933180,1116724.0834460857
LegendsPresale,Failed,NA,NA,NA,NA,NA
LegionVentures,Success,6585863,181513,965480,355388.75,240175.10771349203
LiDAR,Success,7891202,265957,2963718,829687.4,1067153.1008427234
LilyAI,Success,8538287,422152,3461412,1198877.5,1306347.8727514544
Link,Failed,NA,NA,NA,NA,NA
LiquidityLocker,Failed,NA,NA,NA,NA,NA
List,Success,4013982,271205,271205,271205,0
LockchainAI,Success,6585647,181513,965468,355360.25,240173.03511361865
LpToken,Failed,NA,NA,NA,NA,NA
LuminaAI,Success,7243262,265957,2634972,875121.25,1016144.1158116733
LuminaInnovaToken,Failed,NA,NA,NA,NA,NA
Lumin,Failed,NA,NA,NA,NA,NA
LuxuryAI,Success,8698590,265957,2908749,619476.625,865420.571193847
MAGA20,Success,7704496,265957,2776916,792343.8,992434.3850234937
MAGACoinToken,Success,3742777,0,0,0,0
MAGAIBA,Success,8069908,265957,2822666,721190.5,939978.0920950144
MAGATrumpToken,Success,3742777,0,0,0,0
MAGAman,Failed,NA,NA,NA,NA,NA
MARSGO,Success,7503294,286857,2832196,940129.25,1092472.7831267412
MASYA,Success,8068804,265945,2821598,721004.5,939583.8024256183
MAS,Success,6585911,181537,965480,355391.75,240172.93597257684
MEFRA,Success,3742777,0,0,0,0
MERL,Failed,NA,NA,NA,NA,NA
MEWETHtoken,Failed,NA,NA,NA,NA,NA
MGC,Success,7390843,265957,2782517,912016.5,1080022.3244351249
MILF,Success,3742765,0,0,0,0
MILK,Success,8069980,265957,2822666,721200.5,939973.609670284
MILL1ON,Success,7904398,265957,2976686,832324.2,1072318.2270666482
MINESHIELD,Success,7243570,265957,2635268,875198.25,1016270.5775654373
MINUS,Failed,NA,NA,NA,NA,NA
MMCoin,Failed,NA,NA,NA,NA,NA
MODAI,Success,7702252,265945,2774768,791895,991584.9244073853
MOGCATS,Failed,NA,NA,NA,NA,NA
MOMO,Success,6544697,169661,959601,350240,239402.86740085215
MONAD,Success,6585887,181537,965480,355388.75,240173.56092456868
MOON,Success,8217047,426269,3127869,1118567.5,1160152.8113960894
MORION,Success,3742777,0,0,0,0
MORPHAI,Success,8068840,265957,2821586,721012.5,939574.7759112009
MORPHICS,Failed,NA,NA,NA,NA,NA
MORPH,Success,6544697,169661,959613,350243,239406.70053227415
MOTOKO,Success,8292914,265957,3048516,758356.1666666666,1024338.1638906195
MPGA,Failed,NA,NA,NA,NA,NA
MTA,Success,7387774,265957,2779460,911249.25,1078700.4134321483
MUCO,Success,7522170,437905,2325530,944848.25,797650.1485373694
MURF,Failed,NA,NA,NA,NA,NA
MUTT,Failed,NA,NA,NA,NA,NA
MXI,Success,7168600,265945,2560286,856455.75,983803.9219088261
MagicFlowAI,Success,7495171,265957,2886845,938101.5,1125192.4241747498
MagicMintAI,Success,7386262,265957,2777936,910877.25,1078035.4545341667
MarvelCoinUniverseNFT,Failed,NA,NA,NA,NA,NA
Marvin,Failed,NA,NA,NA,NA,NA
Masa,Success,6585911,181537,965480,355391.75,240172.93597257684
Mata,Failed,NA,NA,NA,NA,NA
MattFurieTweet,Success,9194443,265957,3317399,778811.1428571428,1039805.2097042612
MaximumPlanck,Success,8070040,265957,2822714,721210.5,939990.5558666977
McdBoostComposite,Success,3742765,0,0,0,0
McdRepayComposite,Success,3742777,0,0,0,0
McdSubProxy,Failed,NA,NA,NA,NA,NA
Meebits,Success,7300876,265957,2692598,889524.75,1041096.3568059815
MemeTower,Failed,NA,NA,NA,NA,NA
MeritTradingAI,Failed,NA,NA,NA,NA,NA
Meru,Success,7357644,265941,2749414,903716.75,1065703.2210792494
MeshWave,Success,7971817,422152,2894930,1057263,1061067.4403714875
MetaAI,Success,7477871,265957,2869617,933776.5,1117743.257124931
MetaChainAI,Success,7476441,265957,2868103,933416,1117077.5164743492
MetaMusk,Failed,NA,NA,NA,NA,NA
MetaPadAI,Failed,NA,NA,NA,NA,NA
MetaSaviorAI,Success,7721268,243325,2869617,795700.6,1037179.635424568
MetaverseCasinoDAO,Success,3742777,0,0,0,0
MeteoriteFi,Failed,NA,NA,NA,NA,NA
Mezo,Success,6760521,243325,967316,377218,226738.46298819705
MiWave,Success,7471706,265945,2863428,932232.25,1115061.935613528
Milady,Success,8072044,265957,2824814,721544.5,940780.2533241136
MileiMoneda,Failed,NA,NA,NA,NA,NA
MinTAO,Success,7891406,265957,2963718,829728.2,1067132.886454241
MindAI,Success,8361974,422152,3285123,1154799.25,1230020.4340132677
MindBit,Failed,NA,NA,NA,NA,NA
Mind,Success,6585887,181525,965480,355390.25,240174.02181270043
MineBot,Success,8315394,422152,3238507,1143154.25,1209831.294076859
MinerDock,Success,8068828,265957,2821598,721010.5,939581.0409105663
MinexAI,Success,7471622,265957,2863308,932211.25,1115004.7823223395
MintStructsHashHelpers,Success,3742777,0,0,0,0
MioraToken,Success,8358173,422152,3281274,1153849,1228347.0558048731
MissPeaches,Success,7772307,265957,2844727,805906,1019554.7946387188
MistAI,Success,8474092,422152,3397205,1182828.75,1278545.3074467825
Mode,Success,6544685,169661,959613,350243,239406.70053227415
MonieBotAI,Failed,NA,NA,NA,NA,NA
Moon,Failed,NA,NA,NA,NA,NA
MooniferBot,Success,4925171,232765,682270,394131.3333333333,204233.69723649643
Morc,Failed,NA,NA,NA,NA,NA
MorphoAaveV2SubProxy,Failed,NA,NA,NA,NA,NA
MosesPepe,Success,8197879,265957,2846647,742517,941431.6865899866
Multitensor,Failed,NA,NA,NA,NA,NA
Munched,Success,7772223,265945,2844727,805889.2,1019563.1676900455
MuseAI,Success,7709497,414120,2656718,991680,961409.2905175714
MutualAI,Failed,NA,NA,NA,NA,NA
MyMarky,Success,8068828,265957,2821586,721008.5,939576.5691994365
MyTokenContract,Failed,NA,NA,NA,NA,NA
Mystiko,Success,6585623,181525,965456,355357.25,240168.83700677633
NANCE,Success,7224199,265945,2615909,870355.5,1007890.4637589593
NANO,Success,7224211,265957,2615921,870361.5,1007893.8605419968
NCCHA,Success,3742777,0,0,0,0
NFT,Failed,NA,NA,NA,NA,NA
NIBI,Failed,NA,NA,NA,NA,NA
NIM,Success,6585875,181537,965468,355387.25,240170.30013552363
NMA,Failed,NA,NA,NA,NA,NA
NOBLEBLOCKS,Failed,NA,NA,NA,NA,NA
NODEC,Success,7417173,265957,2808847,918599,1091422.6254167082
NOLAND,Success,8069992,265957,2822666,721202.5,939972.7127563775
NOMADS,Success,7415527,265957,2807237,918187.5,1090730.6333326527
NOMB,Failed,NA,NA,NA,NA,NA
NOMICAI,Failed,NA,NA,NA,NA,NA
NOVA,Success,7308757,265957,2700419,891495,1044474.1552960993
NRN,Success,6544709,169661,959613,350241.5,239407.75751320174
NSRevenueStaking,Failed,NA,NA,NA,NA,NA
NUX,Success,8050680,265957,2803390,717983.8333333334,932792.9685138098
NYAN,Success,6544709,169649,959613,350241.5,239407.8319969921
NYN,Success,6544709,169661,959613,350241.5,239407.25735344784
NanoUniversalDeployer,Success,3742777,0,0,0,0
NatosAI,Success,7725960,243325,2874369,796639,1039085.6898059947
Nazare,Success,7356512,265957,2748210,903433.75,1065171.589757344
NepturionCloud,Failed,NA,NA,NA,NA,NA
Nettensor,Failed,NA,NA,NA,NA,NA
NetworkController,Failed,NA,NA,NA,NA,NA
NeuraGPU,Success,7417137,265957,2808847,918590,1091427.728090367
NeuraNodeAI,Success,7488633,265957,2880343,936467,1122382.2936038773
NeuraNode,Success,7442858,265957,2834556,925020.25,1102557.468817924
NeuralAI,Success,8537457,422140,3460582,1198673,1305986.8639601625
NeuralChainAI,Success,5962682,243309,1111095,443981,334244.35448037117
NeuralCloud,Failed,NA,NA,NA,NA,NA
NeuralTensorDynamics,Failed,NA,NA,NA,NA,NA
Newsy,Success,8068900,265957,2821586,721020.5,939571.1898864202
NextGemAiToken,Success,6544697,169661,959613,350240,239407.8864547908
NextarStake7,Failed,NA,NA,NA,NA,NA
Nextar,Failed,NA,NA,NA,NA,NA
Nibi,Failed,NA,NA,NA,NA,NA
Nibiru,Success,6585863,181537,965468,355385.75,240170.88689032962
NodeClone,Failed,NA,NA,NA,NA,NA
NodeHUB,Failed,NA,NA,NA,NA,NA
NodeMatrixAIChain,Success,3742765,0,0,0,0
NodeScanAI,Success,7488657,265957,2880343,936470,1122380.5915608574
Nodify,Success,8538311,422152,3461448,1198883.5,1306365.1663842886
NovaChain,Failed,NA,NA,NA,NA,NA
NovaFrontierNFT,Failed,NA,NA,NA,NA,NA
NovaGPU,Failed,NA,NA,NA,NA,NA
NuLink,Success,6585851,181537,965456,355384.25,240167.07659187488
Nuh,Success,3742777,0,0,0,0
Nuklai,Success,6585695,181537,965480,355364.75,240174.67415443182
NumbersToken,Success,7678477,248277,2821862,787140,1017555.436252001
NuronAI,Success,7725996,243325,2874369,796643.8,1039083.3944590589
NutterButter,Failed,NA,NA,NA,NA,NA
NyanCatWifHat,Success,8167247,265933,2919957,737415.6666666666,976225.6613674024
OASYS,Success,3742777,0,0,0,0
OBAMA,Success,8062952,265957,2824814,720029.1666666666,941433.4174846385
OCAT,Failed,NA,NA,NA,NA,NA
OKZOO,Success,6760509,243325,967316,377216.5,226738.6312364966
OMEGA,Success,8538371,422140,3461448,1198898.5,1306356.7140058836
OMI,Success,7859760,265957,2932276,823396.6,1054579.1802848375
OMNIA,Success,6544721,169661,959613,350243,239406.70053227415
OPCRevenueShare,Failed,NA,NA,NA,NA,NA
OPENGPU,Failed,NA,NA,NA,NA,NA
OPTN,Success,8125824,265957,3194328,876609.4,1158989.0379018432
ORB3,Failed,NA,NA,NA,NA,NA
ORBAI,Success,8125980,265957,3194448,876643,1159032.2712518405
ORBK,Success,6548416,181553,928236,350704.875,235328.0372588642
ORFY,Success,6585875,181537,965480,355387.25,240174.37640844932
OTTOAI,Failed,NA,NA,NA,NA,NA
OTTO,Failed,NA,NA,NA,NA,NA
OditAI,Success,7766714,202035,2191266,574848.1428571428,663957.2769365357
OernAI,Success,8358113,422140,3281274,1153837,1228353.9558313393
Oh,Success,8050596,265957,2803402,717971.8333333334,932803.7158978332
Olympix,Success,7772235,265957,2844727,805894,1019560.7969491569
Oordinals,Failed,NA,NA,NA,NA,NA
OpSync,Failed,NA,NA,NA,NA,NA
Ophel,Success,8358149,422152,3281274,1153843,1228350.4644638272
OptimalAI,Success,7594389,414120,2541586,962903,911557.7056843411
OraSpaceAI,Success,7487217,265957,2878903,936110,1121757.1008986305
OraixToken,Failed,NA,NA,NA,NA,NA
Orbucurum,Failed,NA,NA,NA,NA,NA
OrdinalsAI,Success,7477943,265957,2869629,933794.5,1117739.9446652383
Ownable,Success,4442700,123457,290091,233307.66666666666,77690.9642508202
OxAI,Success,8063588,422140,2986773,1080202.75,1100845.378582836
OxAi,Failed,NA,NA,NA,NA,NA
OxNODE,Success,7417101,265957,2808847,918581,1091432.8308308762
OxSHARP,Failed,NA,NA,NA,NA,NA
OxchangerCo,Success,3742777,0,0,0,0
P2EGameContract,Success,6388148,150683,459185,293930.1111111111,91436.45644495348
P3P3,Failed,NA,NA,NA,NA,NA
PACMOON,Success,6585863,181525,965468,355385.75,240171.38588451268
PAC,Success,6585899,181537,965480,355390.25,240174.0002033682
PALIOAI,Failed,NA,NA,NA,NA,NA
PARAM,Success,6585899,181525,965480,355390.25,240174.02181270043
PATRIOT,Failed,NA,NA,NA,NA,NA
PENGETH,Failed,NA,NA,NA,NA,NA
PENGU,Failed,NA,NA,NA,NA,NA
PEPAI,Failed,NA,NA,NA,NA,NA
PEPA,Success,8069908,265957,2822726,721188.5,940005.786199523
PEPE314,Failed,NA,NA,NA,NA,NA
PEPEAI,Failed,NA,NA,NA,NA,NA
PEPELORE,Success,8163673,265957,2916383,736818,974894.6909160668
PEPER,Success,8069956,265957,2822726,721198.5,940001.3454684963
PEPETIMES,Success,8050704,265957,2803402,717987.8333333334,932796.4999152488
PEPEWIFSOMBRERO,Success,8749143,399532,3272640,1001273.2,1135885.6374317617
PEPE,Success,8072032,265957,2824814,721546.5,940779.356779571
PEPICOIN,Failed,NA,NA,NA,NA,NA
PEPORITA,Failed,NA,NA,NA,NA,NA
PEPY,Success,8539127,422152,3462288,1199087.5,1306732.2889124039
PESO,Success,7861128,265945,2933656,823670.2,1055132.375876771
PGENZ,Failed,NA,NA,NA,NA,NA
PIPE,Success,7323872,265957,2715642,895273.75,1051080.6314618243
PIP,Success,7839447,265957,2911903,819334,1046425.1087279968
PI,Failed,NA,NA,NA,NA,NA
PLCK,Success,8571935,422152,3495012,1207289.5,1320889.4706425099
POKO,Success,6585911,181537,965480,355391.75,240172.93597257684
POPCORN,Success,8049265,422152,2972234,1076622,1094519.594771834
POPO,Success,8069860,265957,2822666,721180.5,939982.5753622156
PORA,Failed,NA,NA,NA,NA,NA
PORTAI,Failed,NA,NA,NA,NA,NA
PORTNOY,Success,7243606,265933,2635256,875207.25,1016258.7872700966
PRC20Proxy,Success,3742777,0,0,0,0
PRINT,Success,8050644,265957,2803390,717979.8333333334,932794.7613636518
PROMOTE,Success,3742777,0,0,0,0
PRVA,Success,6585875,181537,965480,355387.25,240173.3499395541
PT,Failed,NA,NA,NA,NA,NA
PUPPY,Success,8637300,426269,3548110,1223633.75,1342107.9640215938
PaperClippy,Success,7568406,265957,2640262,765128.2,937726.2867810414
ParamLabs,Success,6585887,181537,965468,355388.75,240169.16342067625
Param,Failed,NA,NA,NA,NA,NA
Parcl,Success,6585887,181537,965480,355388.75,240174.18242431368
Peggy,Failed,NA,NA,NA,NA,NA
Pepa,Failed,NA,NA,NA,NA,NA
Pepe3,Failed,NA,NA,NA,NA,NA
PepeAI,Success,7704400,265957,2776856,792324.6,992413.9619843323
PepeBitcoin,Success,8538407,422152,3461484,1198907.5,1306372.2241154127
PepeReborn,Success,8070952,265957,2823710,721362.5,940367.9944482284
