timestamp,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,cadvisor,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,dora--14f727919f1f480297705c17aa5368ac,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,grafana--4a7fb116f8d042eaba5b9cd119b844fc,helpers-grafana-1,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,portainer,prometheus,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81
1717047396,12.312549329123915,53090.200846618034,57254.40007147325,57018.201308219024,61092.81134726858,58256.950239360536,60731.98431655324,155.21650939236264,19258.245553445,18065.637580907052,15378.798696952119,17623.550442315624,16928.964211665014,3453.982830904373,851.5216859702554,856.416326888509,804.7267966650589,862.0358800428419,854.3285982310373,21.5473735024356,5.384013621094289,0.0,0.0,467.9542872418633,21148.04966588823,0.0,0.0,705.9616032334119,864.4699533522363,0.0,5130.691418658616,5327.27677082175,5231.6806984720915,5020.0204754862925,5394.258547348787
1717047411,12.277388019427955,53034.29432400827,67580.18458445653,70654.91055614596,73076.43128926643,69844.5105285024,67665.819374742,156.20146438872865,20153.09272626319,17571.633617453514,16047.944752112613,16839.14328245462,16169.881510057867,2990.34415555654,843.8298056529454,878.7012639006745,894.3247666651922,884.813512856227,849.5874715211571,16.555560460906804,12.529156947684104,0.0,0.0,478.51685393258424,24692.09374528363,0.0,0.0,725.946798917944,883.9421779074326,0.0,5245.449770490305,5710.590725673084,5598.616526777256,5448.6015338749685,5444.3622920517555
1717047426,12.349588347055098,52567.6519103027,67971.24401380999,69537.23094822571,69518.35838765465,66555.30579542418,65604.40454975468,151.06364654207215,19824.495510712062,17872.681300485558,16934.280833917306,17735.91302826144,16372.38256932654,3083.981067349863,817.2310218899237,853.5179556456152,883.1587608690818,819.6696304044631,817.9192677670895,14.851153974802097,12.349733955199369,0.0,0.0,476.29055562853017,24233.303079273017,1.5933353060341884,0.0,726.5802305462553,884.8071431808911,0.0,5457.2458056525165,5629.600159140641,5507.091478951048,5139.299907941711,5352.81534793556
1717047441,11.870081307882952,52052.50264830509,70806.7045206377,69249.9605704887,71078.32696259307,67560.29684601113,67919.41591225627,129.08287292817678,18974.48852436731,19301.052956888365,18020.378816815333,18436.006899525655,17837.53953539099,3248.3409789337734,858.5088931099982,859.3180841195503,931.978912176932,843.7292487493914,829.057010311545,0.0,8.065915004336514,0.0,0.0,458.64247814887386,24682.28564082787,1.586510131000408,0.0,741.4429720240117,897.6635713980058,0.0,5224.243089074156,5145.056323106528,5214.296797074144,5174.393613754989,5264.730546850863
1717047456,110.8151305274374,52530.178173719374,124966.90302170829,57752.27872524451,60548.44598806661,123443.69831218873,61262.83385944881,241.00184292914716,18016.64657858231,18720.924574209246,17904.93997244637,19276.131148994657,18203.206562266965,3558.1607051666333,881.5988103553163,834.2466353952041,955.9889313480038,853.0414379316451,869.4394618834081,0.0,0.0,0.0,0.0,509.99133121429685,23414.22040962668,1.483207966945651,0.0,704.5704482470417,869.0537774678933,0.0,6180.438261178771,5775.988286969254,5769.995626855708,6463.327485129872,5656.050815420459
1717047471,158.76766784452298,52367.32383109098,134613.2861445121,67214.52210314068,70785.52477740803,133708.55415980695,64558.22500510447,247.59852769548436,16739.232643906227,16731.21747253236,17448.104877054746,17677.797159232494,18027.498501897597,3788.6490807354126,897.530324303174,855.1502618031416,866.3024984328825,878.3275916066395,870.6846758786154,0.0,0.0,0.0,1.563197856185797,529.783916239697,27386.02307386288,0.0,0.0,705.2035899022945,883.3359538195458,0.0,6475.2620685050415,6245.863939806649,5860.475744847549,6357.037135219916,6096.563732945403
1717047486,210.86448598130843,52274.986146514464,135361.01877536048,68379.86595055263,66377.62967899589,131073.55775695908,69834.34583553442,239.65315106067644,17740.644421915636,16806.797653828144,16683.13221058215,18296.656973467685,18205.087055926837,4074.62887383953,859.55847815876,866.6523880916684,774.520573023937,858.3057115154795,858.9781621522944,1.5466878783861415,0.0,0.0,1.3673539156707908,501.32602545968876,26787.120581418898,0.0,0.0,684.1536199290719,865.1542360937466,0.0,6247.027355076536,6185.610340308221,5837.973148938081,6245.002366410493,5983.9473684210525
1717047501,157.99260620282027,52119.30336383326,72451.96963895584,71776.21290308042,68236.3360990386,68710.9475173542,70457.65994390276,129.55602727970734,18115.978756693625,16852.292020373516,17482.64977114383,17223.049926412317,16566.808641433214,4120.245725311037,889.3506378061247,893.4740665077744,864.4862944842839,846.1994597325016,839.5584055000992,1.5442311934701083,0.0,1.53169514890265,1.4372831242428599,448.2381558099574,25146.918358570427,0.0,0.0,716.4077713871656,881.2593569146203,1.5895363095508426,5283.948460362525,5360.468501556446,5112.153352982939,5265.780656689747,5241.630049294047
1717047516,156.9226710054748,52933.42013109455,61226.694301441916,62429.17216543271,59154.59526608842,59614.295731440085,66172.89121329832,150.8576972262645,19439.25508564705,18391.81470654374,17039.260767698,18019.45019604388,17633.288643706455,4273.400375732125,891.8472784959376,890.5587146854409,781.5499829796892,873.8787226408325,865.5027335928182,1.5481587968594492,0.0,3.087645009042389,0.0,452.5711208830656,21608.50366458779,1.472103636095981,0.0,698.1272751195122,866.0786060355878,1.5424617689832976,5167.838158414971,5226.502617569747,5374.747272767669,5350.310473929321,5239.65451995637
1717047531,161.16794255131768,52846.40207964503,67950.81713096239,69772.57569109258,71207.11241927689,61139.971732093196,70523.48031746753,153.48603180853624,19367.44410557957,17724.563229335046,17119.367676321028,16771.500492503008,16921.187565810556,4727.037459426265,905.4546257257012,845.323904075434,970.5746316322711,870.8819225823614,846.20537643703,0.0,0.0,3.015356781322019,0.0,501.84959574703737,22495.307472291737,1.448885514667937,0.0,723.7327658418419,876.3649864593344,1.567082316595402,5643.520585871215,5582.968853545394,5935.67134713072,5575.336175795343,5605.299954894001
1717047546,157.3100575282682,52517.08088366293,67925.38414792951,64705.380706231335,68358.23678252763,66447.07204675734,65851.26686410003,151.29295383547378,20065.036512502764,18238.647082603424,17270.97640085002,18741.740468913827,19747.171590194845,4869.576696294993,847.7635712073619,817.135154247326,755.9306162489968,852.176686333918,822.3807322281664,0.0,0.0,1.5458339774308238,67.16124465881983,479.88353626257276,23889.845884796152,137.35403337658272,0.0,698.3875231297911,876.6117041343955,0.0,5505.73192239859,5325.6823266219235,5717.57438392996,5706.753947543014,5490.602301933177
1717047561,160.2811713977722,51409.77959931111,69564.53553028754,69355.56099079468,71869.21910538287,66669.17980861459,70269.72909305064,136.1455417832867,20604.7455235071,17918.16332334347,18529.53940451424,17725.462942205082,19216.15083760993,4932.656099483317,891.9673932954754,841.8384290110473,950.4175479144409,833.8389834234711,850.1433178072376,0.0,0.0,0.0,70.32515933887869,451.50301931031424,24598.752644569817,127.30170714315675,0.0,700.1921420526073,881.701263537906,0.0,5208.3389284275545,5311.236918080116,5460.957576304045,5438.875777730101,5110.225140712946
1717047576,160.1373182552504,52965.84325174039,60816.119105409154,62230.03998741969,62700.03197222983,67330.59386680073,57067.08627238198,156.81441312239502,21260.138431862022,18471.46505790656,18708.647299137538,18242.573030924123,19603.798805596874,5055.434734365985,887.5840065168693,862.4482344035267,782.5261370744348,861.4330410258669,848.9666844824515,0.0,0.0,69.64886108080425,3.1843459399589262,464.24525158280574,23983.79297401135,7.283398821218075,0.0,696.6414814167796,874.6639325586693,0.0,5242.209944751381,5238.682220115107,5272.188699945145,5410.16728707898,4891.506509609423
1717047591,158.0660878809355,53311.80219680875,69224.88323106512,66960.08558019693,67069.1339340992,70279.35436925317,71774.61391049488,158.50571304764293,21606.75090726247,19443.77630787733,17993.249442915192,17406.379782627904,18091.31305132097,5337.41278479012,905.1364797633455,888.4366450924135,977.7980535279808,897.1578994333645,876.2982028357264,0.0,0.0,69.96197718631178,2.71071870841698,489.5875319091764,24847.32111071556,5.648831005805742,0.0,706.3309447110643,873.7883459397112,0.0,5713.216116557244,5797.521109639888,5655.109448415615,5578.217645223128,5567.733577539032
1717047606,161.90281747652102,53179.59873760144,65770.29376168996,71180.61931767037,70488.21963170967,67548.94300957654,66454.61106129858,150.80070161051503,21309.216825884607,19942.80385452285,19221.816968753472,18465.200896323742,18146.666374050827,5835.097765053154,842.4935042057516,839.7522867521554,785.3564547206166,872.6207906295755,841.5483031551555,229255.70302083105,0.0,70.48711871164966,5.426750415665989,511.4588412606941,24316.315593761617,6.419242972035711,0.0,722.6637249825525,880.2322294461719,0.0,5516.449354773779,5621.25251289223,5568.057560250187,5314.450605409075,5513.373218370579
1717047621,152.9182379156668,52441.58442251268,70947.97831488591,74406.63526335955,72913.76785872749,69475.92527626733,72117.6523783686,134.1229405147886,21341.108190976785,21985.662521248993,20314.149152098475,19153.037637925772,15979.333836270944,5666.043696880702,859.2276008680632,860.8338999407804,958.2846691200774,875.7034608056011,858.2096147048427,225292.30296940327,0.0,1.2483240094317813,4.883282967634565,466.7479344439929,25142.592716487143,1.9128327201904352,0.0,720.4898514570814,873.801987162578,0.0,5308.2467239042035,5518.724367450304,5211.461036056187,5309.753894784376,5491.44745656737
1717047636,163.0121967932027,51435.50672508884,60314.91700463178,69781.99206297573,67695.12168067973,59468.75418470741,58702.43891835492,24668.690718907896,21961.594251411483,21149.150464179365,20753.651698096142,19653.780493283615,15765.591494932625,5711.922227920356,856.0633080695496,842.963703977557,765.0012553351745,861.8508005980111,846.5115273151953,228623.93304024285,0.0,6.498324826299102,1.179481280935455,469.7139098980598,21557.220379198978,7.007981312049835,0.0,707.4957983193277,889.9365565521767,0.0,5166.6261572795365,5293.054340756688,5243.191654644324,5182.991477844633,5246.215034388802
1717047651,156.34173055859802,52638.36905850602,71781.47263201736,70789.56046340088,61565.74568358982,71472.13338920622,71916.47373107747,24321.57653846988,22183.85630433823,21343.2888809994,21330.06571861881,19751.50592440591,15988.092812676854,6784.954235988998,864.3038413986073,866.6771674804796,928.5168279205889,914.0541740674955,869.0030238750734,7567.931922517075,0.0,5.278407942319355,0.9562406083511679,456.8282529877803,23325.866087389408,6.041755241782094,0.0,703.9313669128378,1331.1613475177305,0.0,5693.581690538807,5716.080743932865,5618.251281112737,5494.654312188169,5293.757566067473
1717047666,161.41945989957932,51511.42688756466,65520.899546281486,65125.75790152655,65273.8936609764,67117.97466107525,66215.89060370225,25168.77354914944,21694.79329608938,18516.02851506456,21280.01068233409,19773.50987492502,15907.58345746079,6285.714285714285,827.1237944246268,838.7948786820665,808.8599959788219,889.0695940909399,848.1884712685219,7674.119302705648,0.0,5.088232109992421,0.0,466.7178082191781,23866.42359960225,0.0,0.0,715.3480270650499,1350.6294964028777,0.0,5509.5612050224045,5594.302468055313,5615.045515660473,5282.21403812825,5356.5290388141475
1717047681,156.97098994875407,53394.52842143375,68140.21869582612,71396.94948857748,68914.09628767754,71092.06664459892,70723.43105817682,659.2661320608831,20484.912054219785,17048.688394276633,21903.864713107563,18304.641204204334,16918.25994270868,6311.845657470205,846.20239390642,873.3419203217861,926.1606614180137,943.2699242697439,876.736468703513,5539.795200843808,0.0,0.0,0.0,457.3581821896353,24987.680496351015,0.0,0.0,713.5629542893754,1346.1469130238845,0.0,5256.9141032180805,5288.453494771602,5255.999999999999,4987.923964021116,5146.0811834424985
1717047696,157.90871075513863,52661.4217163263,57302.05618302925,59094.725391821696,67907.06369046302,60760.445620511,57782.59627219976,690.5200541584356,19837.965593255005,16770.616198361862,19746.62917616844,18009.294708655147,17947.91643975864,5277.214408535778,862.1910502610529,845.3140599904501,749.3994297388923,909.6332881681892,852.1206111687025,92.78926774734488,0.0,0.0,0.0,486.6151100535395,23128.291229318624,0.0,0.0,728.2257517905153,911.9634157551246,0.0,5175.225235295433,5335.237967195483,5208.927288950795,5156.752178661377,5618.650525811579
1717047711,159.4397158367402,54208.519046087386,68719.45142655553,72691.20999361722,70141.44124168514,65908.834457135,68640.4453533288,691.873128233052,20830.700854700855,17190.39826629221,20190.631735662068,19298.9495117775,20248.066627007734,6899.346521845798,875.9442635298287,874.3450828261208,855.9427436775842,933.2645647396511,862.2703936109525,1690.965001548604,0.0,0.0,0.0,479.58225499851136,24247.069147858958,0.0,0.0,708.714833617842,1240.5150658930613,0.0,5218.889138745222,5583.301528859754,5651.350379724083,5551.397002218901,5694.417150513622
1717047726,157.80254428411902,52232.790738933734,66157.87749038798,68088.37828837828,67989.07235459005,66986.19068934648,67059.81389309673,652.2875816993464,20790.905153746215,18221.083082619763,19762.027472158108,21005.02248704427,20607.995545657017,7203.6078995906255,837.6607402437661,846.9611424775823,754.4127360102034,871.4241568073459,828.2412502751486,1707.8881666254301,0.0,0.0,0.0,497.5622611674793,24718.26019700175,0.0,0.0,539.7370681112506,1229.9942301717633,0.0,5522.238970505523,5594.383810823101,5582.658645800352,5236.012477600053,5646.715825297789
1717047741,158.12800315948834,51585.36692127552,71310.70835763312,71966.0655551775,69621.26758699774,69563.15210806202,71709.60423493823,631.0918623204924,22778.24540090247,20007.599901936752,20708.824613117173,21951.29967134747,19306.749021471078,7304.0042265612965,853.4768211920531,881.2356876655741,936.5800913564447,901.6955226554976,841.5006166028428,1747.4107245378343,0.0,0.0,0.0,459.8807174689045,24556.73312578658,0.0,0.0,539.8130760430831,1221.6813289964853,0.0,5380.996884735203,5001.142684662153,5210.334414495024,5176.699509605435,5127.935723114957
1717047756,157.23448817523345,51310.155774084065,62994.22150882825,59390.64790704799,59719.51137660245,64857.341502628944,63172.97092231818,627.7495769881558,23897.34142305571,22673.114840292685,20313.173284087414,21683.110840544417,18646.269684383537,7458.847460658084,854.9320444316342,856.9625388811252,840.3866424454461,863.6902069737891,864.3154595801315,87.28526895270943,0.0,0.0,0.0,501.0500150002143,22084.01240035429,0.0,0.0,534.152576579809,883.0274711631791,0.0,5883.664109048823,5058.642382649245,5122.381354801405,5178.939824969056,5258.1947430778
1717047771,157.96812749003985,51249.517405921266,72734.08926308167,60197.840026999664,69604.32038403413,59930.62812422248,72106.93834065787,653.9358200767964,24754.025466549887,23911.078748420532,19796.181162466535,21494.09025787966,18234.23383129081,7563.4963161419955,878.2724805183433,863.5908169854595,912.9835740888248,877.7529308124957,889.4644794226384,1784.6464193656839,0.0,0.0,0.0,495.31277378657796,21686.636345831612,0.0,0.0,691.6757575082931,1247.5214658758962,0.0,5900.971210544572,5680.836391947503,5532.814606865757,5056.761681927603,5801.416573471044
1717047786,162.55922011661806,52533.573621679345,69571.99386434875,69958.06761987873,67960.31429836211,67005.84949641554,70559.76869427033,633.5436267982274,24053.018205046308,22832.473027758697,18999.227884403266,21825.536375109627,17021.047046338877,7621.213485169015,830.9765797613786,842.1076273470487,805.7970376565353,830.3373984629869,872.55916494196,1759.5220645390543,0.0,0.0,0.0,506.02078029312605,24854.546279697744,0.0,0.0,689.8738462232855,1231.6119637056122,0.0,6094.208032590887,5674.747698791172,5438.832169084721,5630.265848670756,5799.1271338622055
1717047801,161.89179993194963,51637.78993435449,70399.30182009793,70704.88713468447,73015.56437787601,68742.64173157036,71850.97945739793,626.2484706929151,23025.400547088706,21478.4813628086,18311.432053906123,20856.441744795105,17395.242079554962,6420.7421588050665,853.1751351834473,853.7047231091049,842.390223420477,868.1007962359754,879.0455049944505,1761.66677772595,0.0,0.0,0.0,457.7159583399515,25448.434559840396,0.0,0.0,690.0207720270037,1238.4598214285716,0.0,5707.0496434817705,5462.054807159993,5354.686400472159,4885.832533040655,5523.442488369972
1717047816,162.8931391792578,53067.17492016372,59816.50717703349,69217.76784163917,61601.23837625179,65976.62584095223,62042.43723348459,655.1068253195913,24309.338607876256,21396.866012997893,20266.900944432244,22500.926324859975,18596.35674794599,8235.26831728766,852.5362401292583,853.5404934753601,843.333631404811,849.3044822256568,861.2064194798007,75.72857764245325,0.0,0.0,0.0,473.8324022346368,23741.913494733602,0.0,0.0,708.0085046066619,886.0981042869483,0.0,5773.600216391669,5083.614295347269,5216.558697364965,5595.356621749206,5202.0862246496845
1717047831,228.10948552348313,52810.060866451844,128744.15885223413,67543.93323438945,132055.14681803295,68865.69970453935,67136.53136531364,752.1889272585497,25324.723811187283,22136.4295423652,22220.1915473157,20821.50315496373,20097.68255356362,8428.700083468788,894.9347987657936,856.7238565694878,865.3756777691711,873.7383864714925,871.7198601060202,1831.559159763055,0.0,0.0,0.0,518.1669750734734,26670.732497139525,0.0,0.0,703.4105562719551,1250.2739185694877,0.0,6315.345958875551,5712.79933557883,6202.482441803967,5490.151362711561,5983.762498893903
1717047846,237.4471870135646,54193.06544202066,130378.94946015764,67814.58149779736,130641.63945501634,67133.70400367753,66648.27005341668,591.8760336195373,25223.304701627487,21383.288117200216,21808.39121739318,21895.580293177558,20007.840230039987,8092.1126882840645,876.1679612743443,849.6612421846067,750.8676420551208,868.4446035439414,850.0531806558192,1854.6528409974023,0.0,0.0,0.0,535.1426737210281,26001.762900733454,0.0,0.0,696.672758901636,1239.6648538709821,0.0,6523.853656383777,5997.367734075879,5989.931996820632,6140.770510576695,5835.526600580061
1717047861,238.47966486297784,52569.83551093997,137153.62488201717,69750.70571630204,132941.08297830066,72215.61279185973,68630.26208656999,556.9247666117518,24093.568676086285,22138.32332724267,20437.83735156531,20933.34976804643,18889.888289248673,6993.534964878528,902.2801302931597,852.3737887704084,856.3965229607518,881.2013592020168,848.3101215293178,1910.6601299737774,0.0,0.0,0.0,499.36999369993697,27656.41268338855,0.0,0.0,702.116355264323,1250.2965854921163,0.0,6247.971984573784,5972.0627972933735,5908.539981730276,5374.005184410387,5557.377049180328
1717047876,176.1923794297895,52042.99250771265,65658.25435547592,60273.34400144245,62425.79361490459,59166.06733492157,61588.4235970471,488.5487704644911,22571.46734213859,21116.697149484764,19554.391816766733,22125.28448139886,19341.258583811774,9164.643551740326,888.2512497478086,849.9955088475702,781.260693997673,875.0227025063567,861.8650595858445,75.20115071695061,0.0,0.0,0.0,477.0417261055635,21605.94694744453,0.0,0.0,704.3258576367343,883.7653295000223,0.0,5888.489292094944,5844.255689861701,5465.682228814882,5054.060665362034,5199.8396602530765
1717047891,173.15286065286068,51847.21947792487,74003.4895762979,70796.40032356641,70727.54170061318,70024.60825178878,70556.36638707812,650.7799726015289,21760.313816390666,21442.816091954024,19153.375214163334,19965.608642387793,19084.607343525415,9475.30570112752,884.5618006878835,863.7266856342864,870.1223965826342,857.2002858674289,871.1900580244992,1971.8857349484724,0.0,0.0,0.0,468.909543133918,23858.335765112573,0.0,0.0,722.2159360926927,1258.5074892613118,0.0,5563.046537920214,5723.774825609809,5614.914583243684,5416.7366791952245,5472.4758016422775
1717047906,176.60878904501925,53218.170748207274,68643.51522164857,68338.27794628822,68327.58851035403,65263.53885635324,69455.0662289143,647.6322187771854,20445.027341839683,19848.61549812095,20139.095540826907,20451.099471711746,18904.783838915577,9135.255581799545,830.3969195639033,836.4723792953457,834.2648900017886,824.5664804220555,858.5892676341546,1954.878048780488,0.0,0.0,0.0,474.38605756535515,24144.141159842762,2.1661766981278046,2.0442100864762733,739.3107923338972,1245.8432304038006,0.0,5706.750533528025,5439.923460971694,5592.268017709617,5364.039168771324,5878.484191302362
1717047921,173.12627492268211,52794.50185657406,73111.07658847289,72588.81557314159,70201.44705108528,70732.51221634648,71217.68767705382,624.8048721500342,19864.64136872121,20545.576348620627,20138.690318595003,20971.462518427248,18396.280973352907,7330.667028199566,866.5360330938385,885.0302842742827,933.1071255453223,879.1727949369346,857.3269554201341,1917.0335986812136,44.20725025204927,0.0,0.0,446.9656283566058,24996.106883737397,2.1326508850501176,1.6406890894175554,716.2643626970696,1259.8298409382683,0.0,5304.74050294275,5264.262208185171,5134.46713993293,5594.879120879121,5650.796922231382
1717047936,175.04990019960078,52485.66854194926,59469.12669126691,62297.06742872694,61795.743321851405,57567.93376814459,59066.83134965192,648.9643948007936,21705.057224763113,21166.070561222237,21617.215958369467,23093.3076077446,19414.774615129027,9698.937219239619,860.6887501131325,876.2937629376294,920.3495247689546,879.9646369764615,856.9430879872149,99.01938934700246,45.480650291570946,0.0,0.0,465.32105120563534,22435.86236839249,0.0,0.0,723.3273872694019,889.0881438267543,0.0,5521.0862274153405,5243.47229598159,5380.3678252941045,4847.307753039633,5627.182449535926
1717047951,175.65763119241555,52088.77463203654,70013.57753893397,68528.67046184924,71666.00808062869,61184.2797532656,68436.68320034505,650.2088536256547,22712.24307417337,21419.715229231893,21062.54406062742,21846.039637369802,20263.794250579303,10056.405546470734,898.5481586402266,883.4030807586146,868.8776875724864,902.4781053139885,869.6212087570498,2024.4046189779747,48.70976443085777,0.0,2.055015706191469,459.32172815008573,23876.250893495355,0.0,0.0,707.895087205432,1276.604627656068,0.0,5709.57190531969,5739.814169047673,5715.050744979486,5980.488977255347,5730.3608882738345
1717047966,179.02830702231898,52837.54561124668,66979.27668961829,67596.59792194968,68199.0360667835,65128.77700969522,65331.5614321131,646.6509097395648,22644.409972797377,20537.672689818857,21229.802513464987,20945.613100785515,20624.86525332375,10124.604976187298,845.5961746105198,849.5114439545342,821.6409558710584,853.1210688413654,826.5269807375772,2078.533210951667,3.4256742868888033,0.0,1.5221031116136468,468.2525723331281,24451.157334295902,0.0,0.0,717.1557562076749,1276.237172177879,0.0,5609.341441909886,5577.852057052588,5681.236673773988,5087.537760945038,5528.405956977385
1717047981,174.19611131954713,51408.913673296,71331.60062107607,69286.94046066927,67661.00503175057,67319.37974178091,68490.19093235352,624.0236108645481,22119.300791257625,19647.132396416066,21715.472057722414,21619.173516996223,20812.628506997415,8168.302004872488,877.4091837640998,849.2037699057522,838.4905660377358,853.1457822891144,850.592990127874,2080.115529882248,2.397283079176933,0.0,0.0,448.79376910888436,24971.381225367255,0.0,0.0,692.3987894205886,1280.6189066852369,0.0,5390.07452949112,5215.020214448937,5337.475013628929,5215.243142144638,5441.927819889128
1717047996,175.33765772169897,51892.89562215528,59551.42921960073,65710.53789946299,56429.98429099277,65033.77684560093,59646.48624061861,654.6520245233443,22864.1958730585,21946.697566628045,22285.957104197885,24087.40853991482,21749.74329845105,10555.910259820876,850.1856740190595,880.8921899818788,748.226790151344,858.5576725143525,844.5679415931132,101.62374645433631,4.313637384857335,0.0,0.0,478.9048572749081,22800.205058099793,0.0,0.0,688.2946650937213,908.2211919032004,0.0,5286.7045581188,5327.408295053591,5310.508459542763,4767.230344270026,5250.033397159015
1717048011,173.01242848688108,52276.799361999074,67042.55980808103,70721.87478985944,67716.32343191975,60949.02592979429,69818.02403497593,650.0022130748462,24331.12845614499,23261.792817252717,21533.903724448166,23972.283713575787,21894.411309918265,10837.492243595425,865.9145594043673,865.837405597512,861.5808452975564,840.1996080754681,890.4291170523478,2225.5562127485327,12.272875639212273,1.548432764837304,0.0,477.9141653973659,21715.92864455141,0.0,0.0,679.2796702104578,1313.719918690302,1.5276171354996397,5510.64881380302,5576.617552850737,5858.353643809148,5353.03599028483,5747.790618626785
1717048026,175.43118776671406,52609.439093989655,62826.053790157355,71106.93444319657,67464.41158867732,63399.950554019735,67880.34149729984,653.352036158796,24903.313561967625,22524.92840552912,22245.191569620805,22598.245260636988,21882.03643327785,10710.931391166416,818.286498815297,861.4416450619335,839.1272272026112,830.0957776878456,848.0791108777457,2115.6163668399645,12.650278126682217,1.58102766798419,0.0,477.3696760221381,24374.308833445713,0.0,0.0,700.0,1304.0680505972057,1.5640361068906963,5345.336903168228,5691.95897574003,5642.457119012584,5296.510201806222,5532.613428546547
1717048041,174.32307080701446,53363.18419208247,67221.30299896587,70617.80821917808,71943.45512115156,66720.60973988568,67275.5549763239,628.6259541984733,23688.70348007465,18585.56562604901,20026.904368974203,18209.402177484717,19193.254146122817,5699.2785805585045,854.9947727828813,874.5175037372543,942.2660098522169,853.0324525625111,855.901569411078,2205.920993023466,8.338750532379905,3.0501089324618738,0.0,463.2382846039134,24504.27164626856,0.0,0.0,688.8810323493018,1293.9261279890886,1.5656802880851732,5029.619737735064,5395.505567829327,5443.375895071027,5166.842755985163,5279.790543110972
1717048056,175.81413997416138,53061.58548920007,58881.93787903245,58829.04799578059,60553.790165098515,61229.26318602994,57334.047874240794,663.1803868645974,20553.917512303473,17695.629127371514,20573.681979429282,17348.041022527697,17830.3082494259,3107.1499481568094,857.1149165507651,878.3589516753291,850.863213811421,847.9104214424262,838.4667884899055,88.42827966801372,0.0,1.585396235816366,0.0,475.64457231382096,24127.772768259692,0.0,0.0,706.7906808741195,901.1049480542348,0.0,5297.058887748642,5199.982180246804,5190.720042748364,5464.613627377762,4963.784347208977
