timestamp,grafana--ad5738e121764c40a3c41014f1ef2631,prometheus--92c8439a09ae413a94601b6ded969af2,dora--ae41b9d83a724f4b8ced839ed55c3b18,beacon-metrics-gazer--9d316b6e9aa74b72999d2169c29fc931,el-forkmon--d48c4eced8d1413ebd8bea77b2309ebe,vc-5-geth-prysm--ad729c42abfd432cbccbae2b791e019d,ethereum-metrics-exporter-5-prysm-geth--c24ef082a93e4045af11f64e6d84592f,vc-4-geth-prysm--d03e06aa07c249018118389ef402ba55,ethereum-metrics-exporter-4-prysm-geth--320445e439ac41529158d60cb2a9123d,vc-3-geth-prysm--3543e76cba0d496d846503171238c578,ethereum-metrics-exporter-3-prysm-geth--25c16c673a574df7a29e911e6a76a203,vc-2-geth-prysm--da5a52f2c828426095c8ce10fe8fedfa,ethereum-metrics-exporter-2-prysm-geth--d752acdfa1164b5288105ff1762acec1,vc-1-geth-prysm--db6030ba0fa3465084a9062e7ddae2a5,ethereum-metrics-exporter-1-prysm-geth--332d8a1bb09d4d78a250774250625f9a,cl-5-prysm-geth--dadda985c88241988107c85787072a24,cl-4-prysm-geth--bf9b7cede1f74f37acb6b8f89ab25109,cl-3-prysm-geth--5fa5e7027a8b48fe88a976b0d51f82cb,cl-2-prysm-geth--d4c7c550a22a4d72b6264e330cb9b544,cl-1-prysm-geth--41ea38c7ab484187aea4c001cfa85877,el-5-geth-prysm--c69e01da5b54418399a3651466ef90e8,el-4-geth-prysm--4d2adf113d5c415e8650d956a1d49669,el-3-geth-prysm--34913541bf98469ea24f3b200a50eab9,el-2-geth-prysm--28409563920c4702898404d9d502cf24,el-1-geth-prysm--5edb3644f0d74ccb9237f94347013eb1,validator-key-generation-cl-validator-keystore--9c56e625a65248fcb655039c4474c6af,kurtosis-api--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-logs-collector--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-engine--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-reverse-proxy--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716903809,103000.0,40100.0,10800.0,5470.0,14500.0,340.0,61.4,201.0,279.0,410.0,45.1,279.0,205.0,23800.0,5350.0,750.0,463.0,696.0,631.0,23100.0,209.0,266.0,397.0,225.0,17500.0,6560.0,41100.0,14900.0,23700.0,67600.0,26400.0,129000.0,223000.0,39100.0,47100.0
1716903824,114000.0,40300.0,17600.0,12300.0,15400.0,766.0,360.0,557.0,356.0,659.0,197.0,348.0,238.0,23900.0,5350.0,1920.0,725.0,1020.0,934.0,23900.0,389.0,274.0,483.0,229.0,17500.0,6560.0,41100.0,14900.0,23700.0,67600.0,26500.0,129000.0,223000.0,40100.0,47100.0
1716903839,119000.0,41200.0,18700.0,12500.0,15500.0,791.0,389.0,573.0,442.0,668.0,197.0,406.0,430.0,24000.0,5420.0,1920.0,725.0,1090.0,1050.0,23900.0,578.0,389.0,483.0,381.0,17900.0,6560.0,41100.0,14900.0,23700.0,67700.0,26500.0,129000.0,223000.0,41100.0,47100.0
1716903854,130000.0,41200.0,18700.0,12500.0,15700.0,791.0,483.0,578.0,442.0,676.0,197.0,422.0,430.0,24000.0,5420.0,1960.0,860.0,1370.0,1270.0,24800.0,643.0,528.0,553.0,487.0,17900.0,6560.0,41100.0,14900.0,24500.0,67700.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903869,138000.0,44100.0,18700.0,12500.0,16100.000000000002,815.0,483.0,610.0,561.0,688.0,197.0,426.0,430.0,24000.0,5480.0,1960.0,860.0,1520.0,1270.0,24800.0,1060.0,541.0,631.0,487.0,17900.0,6560.0,41100.0,15100.0,24500.0,67700.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903884,138000.0,44100.0,18700.0,12500.0,16200.0,868.0,483.0,614.0,561.0,688.0,197.0,430.0,430.0,24000.0,5490.0,1960.0,918.0,1740.0,1330.0,24900.0,1060.0,549.0,647.0,487.0,17900.0,6560.0,41100.0,15100.0,24500.0,67700.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903899,138000.0,44100.0,18700.0,12500.0,16200.0,877.0,483.0,840.0,561.0,901.0,197.0,438.0,430.0,24000.0,5490.0,2050.0,918.0,1760.0,1330.0,25000.0,1060.0,549.0,647.0,594.0,17900.0,6560.0,41100.0,15100.0,32600.0,90800.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903914,138000.0,44600.0,18700.0,12500.0,16300.0,881.0,483.0,848.0,561.0,905.0,197.0,442.0,430.0,24000.0,5490.0,2080.0,1030.0,1840.0,1330.0,25000.0,1060.0,549.0,647.0,598.0,17900.0,6560.0,41100.0,15100.0,32600.0,90800.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903929,138000.0,44600.0,18700.0,12500.0,16300.0,889.0,483.0,864.0,561.0,926.0,197.0,451.0,430.0,24100.0,5490.0,2080.0,1180.0,1960.0,1340.0,25000.0,1060.0,549.0,750.0,598.0,17900.0,6560.0,44900.0,15100.0,32600.0,90800.0,28100.0,129000.0,223000.0,41400.0,47100.0
1716903944,138000.0,44600.0,18700.0,12500.0,16400.0,889.0,483.0,864.0,561.0,946.0,197.0,451.0,430.0,24100.0,5490.0,2080.0,1180.0,2000.0,1340.0,25000.0,1080.0,549.0,750.0,598.0,17900.0,6560.0,44900.0,15100.0,32700.000000000004,90800.0,28200.0,129000.0,223000.0,41400.0,47100.0
1716903959,138000.0,44600.0,18700.0,12500.0,16400.0,889.0,676.0,877.0,561.0,1100.0,197.0,471.0,496.0,24100.0,5490.0,2110.0,1180.0,2000.0,1340.0,25000.0,1080.0,549.0,811.0,598.0,17900.0,6560.0,44900.0,15100.0,32700.000000000004,90800.0,28200.0,129000.0,223000.0,41400.0,47100.0
1716903974,138000.0,44600.0,18700.0,12500.0,16800.0,893.0,676.0,905.0,561.0,1110.0,197.0,479.0,496.0,24100.0,5490.0,2110.0,1180.0,2000.0,1340.0,25000.0,1080.0,549.0,811.0,598.0,17900.0,6560.0,45000.0,15100.0,32700.000000000004,90800.0,28200.0,129000.0,223000.0,41400.0,47100.0
1716903989,138000.0,44600.0,18700.0,12500.0,17500.0,905.0,676.0,913.0,561.0,1110.0,197.0,500.0,496.0,24200.0,5490.0,2110.0,1200.0,2000.0,1340.0,25100.0,1900.0,549.0,811.0,598.0,18200.0,6560.0,45000.0,15100.0,32700.000000000004,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904004,138000.0,44600.0,18700.0,12500.0,17500.0,909.0,676.0,913.0,561.0,1120.0,197.0,508.0,496.0,24200.0,5490.0,2130.0,1200.0,2000.0,1340.0,25100.0,1900.0,549.0,811.0,598.0,18200.0,6560.0,45000.0,15100.0,32700.000000000004,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904019,138000.0,44700.0,18700.0,12500.0,17500.0,918.0,676.0,930.0,561.0,1140.0,213.0,520.0,496.0,24200.0,5490.0,2130.0,1290.0,2009.9999999999998,1340.0,25100.0,1900.0,549.0,811.0,598.0,18200.0,6560.0,45000.0,15100.0,32700.000000000004,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904034,138000.0,44700.0,18700.0,12500.0,17600.0,918.0,676.0,934.0,561.0,1150.0,213.0,520.0,496.0,24200.0,5490.0,2130.0,1290.0,2009.9999999999998,1340.0,25200.0,1900.0,549.0,811.0,598.0,18300.0,6560.0,45000.0,15100.0,32700.000000000004,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904049,138000.0,44700.0,18700.0,12500.0,17700.0,979.0,676.0,942.0,561.0,1160.0,213.0,532.0,496.0,24300.0,5490.0,2130.0,1530.0,2009.9999999999998,1410.0,25200.0,1900.0,549.0,811.0,627.0,18300.0,6560.0,45000.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904064,138000.0,44700.0,18700.0,12500.0,17700.0,1030.0,676.0,954.0,561.0,1160.0,213.0,532.0,496.0,24400.0,5490.0,2270.0,1530.0,2009.9999999999998,1410.0,25200.0,1900.0,549.0,848.0,627.0,18300.0,6560.0,45000.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41400.0,47100.0
1716904079,138000.0,44800.0,18700.0,12500.0,17700.0,1040.0,676.0,967.0,561.0,1170.0,213.0,651.0,496.0,24400.0,5490.0,2270.0,1530.0,2009.9999999999998,1410.0,25200.0,2120.0,549.0,864.0,635.0,20100.0,6560.0,45000.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904094,138000.0,44800.0,18700.0,12500.0,17700.0,1040.0,676.0,975.0,561.0,1180.0,213.0,856.0,496.0,24400.0,5490.0,2270.0,1630.0,2009.9999999999998,1410.0,25300.0,2120.0,549.0,864.0,635.0,20100.0,6560.0,45100.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904109,138000.0,44800.0,18800.0,12500.0,18000.0,1050.0,676.0,983.0,561.0,1180.0,213.0,860.0,496.0,24400.0,5490.0,2270.0,1630.0,2009.9999999999998,1410.0,25300.0,2120.0,549.0,864.0,635.0,20200.0,6560.0,45100.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904124,138000.0,44800.0,18800.0,12500.0,18000.0,1050.0,676.0,995.0,561.0,1190.0,213.0,872.0,496.0,24400.0,5490.0,2270.0,1630.0,2060.0,1410.0,25300.0,2120.0,549.0,864.0,676.0,20200.0,6560.0,45100.0,15100.0,32800.0,90800.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904139,138000.0,44800.0,19200.0,12500.0,18000.0,1060.0,676.0,1100.0,561.0,2240.0,213.0,872.0,496.0,24900.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2140.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904154,138000.0,44800.0,19200.0,12500.0,18000.0,1060.0,676.0,1100.0,561.0,2240.0,213.0,877.0,496.0,24900.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2140.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904169,139000.0,44800.0,19200.0,12500.0,18000.0,1060.0,745.0,1100.0,561.0,2240.0,213.0,1140.0,496.0,24900.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2140.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904184,140000.0,44800.0,19200.0,12500.0,18000.0,1060.0,745.0,1100.0,561.0,2320.0,213.0,1140.0,496.0,24900.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2140.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904199,140000.0,44800.0,19200.0,12500.0,18000.0,1060.0,745.0,1110.0,561.0,2320.0,213.0,1140.0,496.0,24900.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2140.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904214,140000.0,44800.0,19200.0,12500.0,18000.0,1060.0,745.0,1110.0,561.0,2320.0,213.0,1140.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904229,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,745.0,1110.0,561.0,2320.0,213.0,1140.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904244,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,782.0,1110.0,561.0,2320.0,213.0,1140.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1450.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32800.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904259,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,782.0,1110.0,561.0,2450.0,213.0,1140.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1570.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904274,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,782.0,1170.0,561.0,2450.0,213.0,1140.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1570.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904289,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,795.0,1170.0,561.0,2450.0,213.0,1150.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1590.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904304,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,795.0,1170.0,561.0,2450.0,213.0,1150.0,496.0,25000.0,5490.0,2270.0,1630.0,2590.0,1590.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904319,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,795.0,1170.0,561.0,2450.0,213.0,1150.0,496.0,25000.0,5710.0,2270.0,1630.0,2590.0,1590.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904334,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,795.0,1170.0,561.0,2450.0,213.0,1150.0,496.0,25000.0,5710.0,2270.0,1630.0,2590.0,1590.0,25400.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
1716904349,141000.0,44900.0,19200.0,12500.0,18000.0,1060.0,795.0,1170.0,561.0,2450.0,213.0,1150.0,496.0,25000.0,5710.0,2270.0,1630.0,2590.0,1590.0,26000.0,2390.0,549.0,864.0,676.0,20300.0,6560.0,45100.0,15100.0,32900.0,90900.0,28200.0,132000.0,223000.0,41500.0,47100.0
