timestamp,grafana--e9468133916047cd82ef18a42a107214,prometheus--00088d92694440d2a227ca9549927893,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1717045825,83900.0,36300.0,5650.0,5420.0,8020.0,45.1,0.0,45.1,86.0,176.0,0.0,57.3,0.0,16200.0,2220.0,0.0,77.8,41.0,41.0,10700.0,4.1,233.0,45.1,4.1,7820.0,9130.0,22300.0,14900.0,22100.0,71900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045840,83900.0,36300.0,5650.0,5420.0,8020.0,45.1,0.0,45.1,86.0,176.0,0.0,57.3,0.0,16200.0,2220.0,0.0,81.9,45.1,45.1,10700.0,4.1,233.0,45.1,4.1,7820.0,9130.0,22300.0,14900.0,22100.0,71900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045855,83900.0,36300.0,5650.0,5470.0,8020.0,49.2,0.0,53.2,86.0,197.0,0.0,65.5,0.0,16200.0,2220.0,0.0,90.1,53.2,53.2,10700.0,4.1,233.0,45.1,4.1,7820.0,9130.0,22300.0,14900.0,22100.0,71900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045870,83900.0,36300.0,5650.0,5470.0,8020.0,53.2,0.0,53.2,86.0,205.0,0.0,69.6,0.0,16200.0,2220.0,0.0,98.3,61.4,61.4,10800.0,4.1,233.0,45.1,4.1,7820.0,9130.0,22300.0,14900.0,22100.0,71900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045885,83900.0,36300.0,5650.0,5470.0,8020.0,57.3,0.0,53.2,86.0,213.0,0.0,77.8,0.0,16200.0,2220.0,49.2,102.0,65.5,65.5,10800.0,4.1,233.0,49.2,4.1,7820.0,9130.0,22300.0,14900.0,22100.0,71900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045900,83900.0,36300.0,5650.0,5470.0,8020.0,73.7,0.0,69.6,86.0,225.0,0.0,77.8,0.0,16200.0,2220.0,49.2,102.0,65.5,65.5,10800.0,4.1,233.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045915,83900.0,36300.0,5650.0,5470.0,8020.0,73.7,0.0,77.8,86.0,225.0,0.0,81.9,0.0,16200.0,2220.0,53.2,102.0,65.5,65.5,10800.0,4.1,233.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045930,83900.0,36300.0,5650.0,5470.0,8020.0,90.1,0.0,176.0,86.0,238.0,0.0,90.1,0.0,16200.0,2220.0,57.3,106.0,69.6,69.6,10800.0,4.1,233.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,576000.0,471000.0,256000.0,150000.0
1717045945,83900.0,36300.0,5650.0,5470.0,8020.0,94.2,0.0,176.0,86.0,242.0,0.0,94.2,0.0,16200.0,2220.0,61.4,106.0,69.6,69.6,10800.0,4.1,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717045960,83900.0,36300.0,5650.0,5470.0,8020.0,102.0,0.0,180.0,86.0,250.0,0.0,94.2,0.0,16200.0,2220.0,61.4,111.0,73.7,69.6,10800.0,4.1,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717045975,83900.0,36300.0,5650.0,5470.0,8020.0,106.0,0.0,184.0,86.0,258.0,0.0,102.0,0.0,16200.0,2220.0,65.5,115.0,77.8,73.7,10800.0,4.1,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717045990,83900.0,36300.0,5770.0,5470.0,8020.0,115.0,0.0,197.0,86.0,262.0,0.0,106.0,0.0,16200.0,2220.0,65.5,115.0,77.8,73.7,10800.0,4.1,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046005,83900.0,36300.0,5770.0,5470.0,8029.999999999999,119.0,0.0,197.0,86.0,274.0,0.0,111.0,0.0,16200.0,2220.0,69.6,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046020,83900.0,36300.0,5770.0,5470.0,8029.999999999999,127.0,0.0,201.0,86.0,356.0,0.0,123.0,0.0,16200.0,2220.0,69.6,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046035,83900.0,36300.0,5770.0,5470.0,8029.999999999999,135.0,0.0,213.0,86.0,360.0,0.0,123.0,0.0,16200.0,2220.0,69.6,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046050,83900.0,36300.0,5770.0,5470.0,8029.999999999999,139.0,0.0,221.0,86.0,377.0,0.0,147.0,0.0,16200.0,2220.0,69.6,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046065,83900.0,36300.0,5770.0,5470.0,8029.999999999999,152.0,0.0,225.0,86.0,377.0,0.0,156.0,0.0,16200.0,2220.0,73.7,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046080,83900.0,36300.0,5770.0,5470.0,8029.999999999999,160.0,0.0,246.0,86.0,385.0,0.0,176.0,0.0,16200.0,2220.0,77.8,115.0,77.8,77.8,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046095,83900.0,36300.0,5770.0,5470.0,8029.999999999999,164.0,0.0,373.0,86.0,393.0,0.0,188.0,0.0,16300.0,2220.0,127.0,164.0,127.0,127.0,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046110,83900.0,36300.0,5770.0,5470.0,8029.999999999999,176.0,0.0,401.0,86.0,401.0,0.0,197.0,0.0,16400.0,2220.0,135.0,172.0,135.0,135.0,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,256000.0,150000.0
1717046125,83900.0,36300.0,5770.0,5470.0,8029.999999999999,184.0,0.0,483.0,86.0,401.0,0.0,197.0,0.0,16400.0,2220.0,143.0,180.0,143.0,143.0,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,150000.0
1717046140,83900.0,36300.0,5770.0,5470.0,8160.0,197.0,0.0,492.0,86.0,426.0,0.0,197.0,0.0,16400.0,2220.0,152.0,188.0,152.0,152.0,10800.0,8.19,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046155,83900.0,36300.0,5770.0,5470.0,8160.0,197.0,0.0,496.0,86.0,426.0,0.0,201.0,0.0,16400.0,2220.0,156.0,193.0,156.0,156.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046170,83900.0,36300.0,5880.0,5620.0,8160.0,1220.0,0.0,561.0,86.0,586.0,0.0,340.0,0.0,16700.0,2220.0,164.0,201.0,164.0,164.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046185,83900.0,36300.0,5880.0,5620.0,8160.0,1220.0,0.0,565.0,86.0,586.0,0.0,340.0,0.0,16700.0,2220.0,164.0,201.0,164.0,164.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046200,83900.0,36300.0,5880.0,5620.0,8160.0,1220.0,0.0,578.0,86.0,586.0,0.0,340.0,0.0,16700.0,2220.0,172.0,209.0,172.0,172.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046215,83900.0,36300.0,5880.0,5620.0,8160.0,1220.0,0.0,586.0,86.0,586.0,0.0,340.0,0.0,16700.0,2220.0,176.0,213.0,176.0,176.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046230,83900.0,36300.0,5880.0,5620.0,8160.0,1220.0,0.0,590.0,86.0,586.0,0.0,340.0,0.0,16800.0,2220.0,176.0,213.0,176.0,176.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046245,83900.0,36300.0,5880.0,5620.0,8160.0,1410.0,0.0,614.0,86.0,586.0,0.0,340.0,0.0,16800.0,2220.0,176.0,213.0,176.0,176.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046260,83900.0,36300.0,5880.0,5620.0,8160.0,1510.0,0.0,627.0,86.0,586.0,0.0,340.0,0.0,16800.0,2220.0,180.0,217.0,180.0,180.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046275,83900.0,36300.0,5880.0,5620.0,8160.0,1510.0,0.0,643.0,86.0,586.0,0.0,340.0,0.0,16800.0,2220.0,180.0,217.0,180.0,180.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
1717046290,83900.0,36300.0,5880.0,5620.0,8160.0,1510.0,0.0,647.0,86.0,586.0,0.0,340.0,0.0,16800.0,2220.0,180.0,217.0,180.0,180.0,10800.0,106.0,238.0,49.2,8.19,7820.0,9130.0,22300.0,14900.0,22800.0,73900.0,27800.0,577000.0,471000.0,257000.0,151000.0
