timestamp,beacon-metrics-gazer--2b532c65542b49af8a577a2e4cc703dc,cadvisor,cl-1-lighthouse-geth--f1b6a7e23fde416abcf8ae7b2fd8bfcf,cl-2-lighthouse-geth--d4e8bc4b810c45d8ba27af41e7f3a254,cl-3-lighthouse-geth--7bf1d58c403c42aab8058786c63bd915,cl-4-lighthouse-geth--bc5dc8b2680d45128dae60b6cf9d1170,cl-5-lighthouse-geth--55326f7a353246b0a8b010691ef29506,dora--8975b56d1fa64122a26798324a883fdb,el-1-geth-lighthouse--3a206e2f8d344038a2c57690b25e2253,el-2-geth-lighthouse--57b91914600844d2a4d3df60120f29e2,el-3-geth-lighthouse--560a46ec7aed44e3981b7cb4a4c7567d,el-4-geth-lighthouse--ef00419e71df4b5697918ace32a8fcab,el-5-geth-lighthouse--8e9fe02e04754795baa98a36c53fa90a,el-forkmon--9b3c8a98abac4b0f9d5447b68cd35a38,ethereum-metrics-exporter-1-lighthouse-geth--54f86d1694044be68d52c0a40cef2cb6,ethereum-metrics-exporter-2-lighthouse-geth--41334489f20a41f7af3c173f5da99706,ethereum-metrics-exporter-3-lighthouse-geth--1ffc74243e5c4d84aea1fa28cc1d8e3c,ethereum-metrics-exporter-4-lighthouse-geth--3e01a429001e47edadc902db280bef71,ethereum-metrics-exporter-5-lighthouse-geth--79bfddb14d0043b99dcf3b938647b58e,grafana,grafana--68034e5f1f434158b0ed30861e348183,kurtosis-api--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-engine--1cfa7bb487cd419db0f48556625aa3bb,kurtosis-logs-aggregator,kurtosis-logs-collector--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-reverse-proxy--1cfa7bb487cd419db0f48556625aa3bb,portainer,prometheus,prometheus--c2ea8c1670de45899ee65fdb189a6e04,validator-key-generation-cl-validator-keystore--753b76e9cb714564a051955f20862c0c,vc-1-lighthouse-geth--5eab6e70605248e094481e2a4f743494,vc-2-lighthouse-geth--b97784b9fd4847b0a3e0dddb896b0eff,vc-3-lighthouse-geth--13275fdcf9184bf08ad30c2fd1d44bef,vc-4-lighthouse-geth--a3101570a8094675a9a33d3c43ba229a,vc-5-lighthouse-geth--1ffcaca25cac48599e1b27e8b6b82ead
1714021729,22827008.0,293650432.0,225673216.0,518397952.0,222912512.0,205504512.0,205598720.0,40263680.0,120508416.0,88641536.0,94633984.0,96104448.0,94334976.0,35401728.0,21794816.0,10153984.0,10010624.0,10678272.0,9805824.0,51183616.0,112533504.0,18513920.0,24162304.0,17563648.0,3948544.0,34537472.0,16625664.0,766439424.0,136765440.0,6320128.0,34676736.0,31555584.0,32370688.0,32333824.0,32526336.0
1714021744,22827008.0,293642240.0,214454272.0,519540736.0,224034816.0,213045248.0,206942208.0,40267776.0,120528896.0,88592384.0,94212096.0,95801344.0,93835264.0,35082240.0,21811200.0,9011200.0,9056256.0,10866688.0,9973760.0,51187712.0,112533504.0,18513920.0,24162304.0,17633280.0,3551232.0,34562048.0,16625664.0,766504960.0,136949760.0,6320128.0,34648064.0,31547392.0,32186368.0,32497664.0,32350208.0
1714021759,22827008.0,293638144.0,217808896.0,523833344.0,225542144.0,208445440.0,212590592.0,40267776.0,120705024.0,88543232.0,94277632.0,96030720.0,93851648.0,34103296.0,22183936.0,9412608.0,9588736.0,10993664.0,9334784.0,51187712.0,112533504.0,18513920.0,24162304.0,17752064.0,3440640.0,34562048.0,16625664.0,766554112.0,137220096.0,6320128.0,34541568.0,31727616.0,32305152.0,32202752.0,32190464.0
1714021774,22827008.0,293642240.0,228847616.0,528470016.0,225783808.0,207241216.0,212680704.0,40345600.0,120700928.0,88780800.0,94384128.0,95862784.0,93974528.0,36499456.0,22298624.0,9969664.0,9617408.0,9261056.0,9670656.0,51187712.0,112533504.0,18513920.0,24162304.0,17821696.0,3440640.0,34562048.0,16625664.0,766607360.0,137506816.0,6320128.0,34852864.0,31477760.0,32333824.0,32391168.0,32485376.0
1714021789,22827008.0,293638144.0,221933568.0,529965056.0,231104512.0,213377024.0,214958080.0,40353792.0,120721408.0,89051136.0,95858688.0,95903744.0,93949952.0,34541568.0,21229568.0,10563584.0,9453568.0,10104832.0,9879552.0,51187712.0,112533504.0,18513920.0,24293376.0,17903616.0,3461120.0,34562048.0,19103744.0,766664704.0,135237632.0,6320128.0,34635776.0,31797248.0,32305152.0,32337920.0,32747520.0
1714021804,22827008.0,293642240.0,210423808.0,441741312.0,207437824.0,210063360.0,213561344.0,34467840.0,120877056.0,88735744.0,95875072.0,95936512.0,94134272.0,34217984.0,21962752.0,8646656.0,9723904.0,11001856.0,10657792.0,50888704.0,110477312.0,18513920.0,24293376.0,16179200.0,3444736.0,34562048.0,19103744.0,753983488.0,135208960.0,6320128.0,34643968.0,31662080.0,32337920.0,32129024.0,32636928.0
1714021819,22827008.0,293646336.0,212672512.0,440508416.0,209715200.0,222674944.0,215609344.0,34476032.0,120963072.0,88698880.0,95907840.0,96497664.0,94068736.0,34385920.0,20926464.0,9854976.0,9678848.0,8966144.0,10973184.0,50888704.0,110477312.0,18513920.0,23089152.0,16252928.0,3440640.0,34562048.0,19103744.0,750747648.0,135393280.0,6320128.0,34660352.0,31703040.0,32305152.0,32182272.0,32681984.0
1714021834,22827008.0,293646336.0,208699392.0,405094400.0,196124672.0,219291648.0,220246016.0,32940032.0,120991744.0,88502272.0,96206848.0,96256000.0,93728768.0,34000896.0,20955136.0,10797056.0,9461760.0,9428992.0,11337728.0,50888704.0,108179456.0,18513920.0,23089152.0,14368768.0,3440640.0,34562048.0,19136512.0,751067136.0,133582848.0,6074368.0,34672640.0,31133696.0,32149504.0,31756288.0,32251904.0
1714021849,18960384.0,291745792.0,183185408.0,318365696.0,184082432.0,230457344.0,191307776.0,27795456.0,112713728.0,88465408.0,96198656.0,96194560.0,93667328.0,34856960.0,20709376.0,10473472.0,9945088.0,9728000.0,9641984.0,50888704.0,103583744.0,18513920.0,23166976.0,14499840.0,3502080.0,28979200.0,19136512.0,750866432.0,129806336.0,5636096.0,33357824.0,30785536.0,31801344.0,31776768.0,31674368.0
1714021864,16601088.0,271470592.0,167141376.0,259264512.0,163434496.0,220815360.0,172986368.0,26243072.0,112787456.0,87576576.0,96067584.0,96268288.0,92827648.0,35549184.0,20574208.0,8986624.0,10182656.0,9830400.0,9633792.0,50896896.0,103690240.0,18513920.0,23166976.0,14548992.0,3444736.0,27721728.0,19136512.0,750919680.0,126218240.0,5189632.0,33423360.0,30941184.0,31891456.0,31363072.0,31813632.0
1714021879,16601088.0,277098496.0,167940096.0,257327104.0,170762240.0,224370688.0,174108672.0,26243072.0,113258496.0,87547904.0,96161792.0,96370688.0,92942336.0,33603584.0,20422656.0,10018816.0,10272768.0,10735616.0,9711616.0,50896896.0,103690240.0,18513920.0,23166976.0,14602240.0,3440640.0,27721728.0,19136512.0,750985216.0,126226432.0,5189632.0,33058816.0,30826496.0,32018432.0,31576064.0,31846400.0
1714021894,16601088.0,280363008.0,171986944.0,265146368.0,181600256.0,227680256.0,183803904.0,26263552.0,112881664.0,87539712.0,96178176.0,96362496.0,92942336.0,33849344.0,21303296.0,9191424.0,10563584.0,10842112.0,10600448.0,50896896.0,103690240.0,18513920.0,23166976.0,14700544.0,3444736.0,27721728.0,19136512.0,751034368.0,126447616.0,5189632.0,33599488.0,30654464.0,32247808.0,31346688.0,31752192.0
1714021909,16601088.0,281313280.0,172773376.0,261816320.0,169283584.0,232345600.0,180621312.0,26288128.0,113242112.0,87875584.0,96329728.0,96464896.0,92942336.0,35393536.0,21426176.0,9216000.0,10772480.0,9424896.0,10940416.0,50896896.0,103763968.0,18513920.0,23314432.0,14757888.0,3710976.0,27721728.0,19136512.0,751091712.0,128487424.0,5189632.0,33304576.0,30855168.0,31842304.0,31887360.0,32002048.0
1714021924,14241792.0,281133056.0,154353664.0,175398912.0,145113088.0,231325696.0,149471232.0,26292224.0,113524736.0,87531520.0,96337920.0,96681984.0,93044736.0,35291136.0,22249472.0,10027008.0,10473472.0,9392128.0,11464704.0,50896896.0,103780352.0,18513920.0,23314432.0,14917632.0,3522560.0,27721728.0,19136512.0,751149056.0,123105280.0,5189632.0,33296384.0,30781440.0,32030720.0,31440896.0,31735808.0
1714021939,14442496.0,281145344.0,176025600.0,170360832.0,154378240.0,245592064.0,156626944.0,43675648.0,113242112.0,87605248.0,96403456.0,96604160.0,93065216.0,33492992.0,22347776.0,10014720.0,9068544.0,9793536.0,11214848.0,50896896.0,104116224.0,18513920.0,23314432.0,15020032.0,3452928.0,27725824.0,19136512.0,751210496.0,123375616.0,5189632.0,33382400.0,30679040.0,31899648.0,31629312.0,31973376.0
1714021954,14442496.0,284012544.0,180781056.0,161771520.0,150806528.0,238817280.0,149331968.0,43704320.0,113135616.0,87666688.0,96452608.0,96657408.0,93483008.0,34029568.0,22601728.0,9687040.0,8994816.0,9437184.0,9027584.0,50896896.0,104116224.0,18513920.0,23314432.0,15028224.0,3518464.0,27725824.0,16748544.0,751271936.0,123559936.0,5189632.0,33632256.0,30822400.0,31875072.0,31444992.0,31662080.0
1714021969,14442496.0,284000256.0,177766400.0,163852288.0,143499264.0,241278976.0,150368256.0,43704320.0,113360896.0,87568384.0,96993280.0,96817152.0,93360128.0,33509376.0,21065728.0,9908224.0,9662464.0,9601024.0,9318400.0,50896896.0,104116224.0,18513920.0,23371776.0,15171584.0,3457024.0,27725824.0,16748544.0,751341568.0,123834368.0,5189632.0,33325056.0,30851072.0,31764480.0,31928320.0,31940608.0
1714021984,14442496.0,283996160.0,171208704.0,170192896.0,147849216.0,239403008.0,150712320.0,43708416.0,113262592.0,87576576.0,96751616.0,96768000.0,93278208.0,34697216.0,20869120.0,8728576.0,9949184.0,9965568.0,9637888.0,50896896.0,104116224.0,18513920.0,23371776.0,15331328.0,3592192.0,27725824.0,16748544.0,751435776.0,124080128.0,5189632.0,33447936.0,31035392.0,31842304.0,31383552.0,31801344.0
1714021999,14442496.0,284520448.0,178593792.0,165232640.0,156131328.0,251088896.0,151449600.0,43708416.0,113401856.0,87601152.0,97026048.0,96829440.0,93310976.0,34435072.0,21266432.0,9814016.0,10366976.0,10600448.0,9572352.0,50896896.0,102998016.0,18513920.0,23371776.0,15384576.0,3457024.0,27725824.0,16748544.0,751493120.0,124346368.0,5189632.0,33144832.0,30674944.0,31744000.0,31703040.0,31956992.0
